"sitecode","nazev_cz","nazev_lat","feature_code","pop_typ","pop_min","pop_max","pop_jednotka","zachovalost","izolace","celkove","stav_text","source_file","druh_cz","druh","poznamka","pop_prum"
"CZ0614059","srpnatka fermežová","Drepanocladus vernicosus","1393","stálá",NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","2
Aktivním managementem zachovat souèasný stav populace (desítky m ).","sdo_3022_2016_0000.pdf","srpnatka fermežová","Drepanocladus vernicosus","2Aktivním managementem zachovat souèasný stav populace (desítky m ).",NA
"CZ0614059","hoøeèek èeský *","Gentianella bohemica","4094","stálá",1,101,"jedinci","dobré zachování","populace na okraji areálu","dobrá hodnota","Zachování životaschopné populace v odpovídajících poètech jedincù. Vhodnými managementovými zásahy
zlepšit stav populace na poèetnost alespoò jako pøi vyhlášení.
* oznaèuje prioritní druh","sdo_3022_2016_0000.pdf","hoøeèek èeský","Gentianella bohemica","Zachování životaschopné populace v odpovídajících poètech jedincù. Vhodnými managementovými zásahyzlepšit stav populace na poèetnost alespoò jako pøi vyhlášení.",51
"CZ0614059","šikoušek zelený","Buxbaumia viridis","1386","stálá",NA,NA,NA,"prùmìrné nebo omezené zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Cílem je zlepšit stav oproti souèasnému stavu. Výsledkem péèe by mìla být stabilizovaná a perspektivní
populace mechu vyskytující se na více místech (v øádu jednotek) v rámci EVL (o rozloze mikrostanoviš
v øádu nìkolika m2) s pravidelnou každoroèní tvorbou štìtù s tobolkami (v øádu jednotek) a s dostatkem
mrtvého døeva v rùzných fázích rozkladu na lokalitì.","sdo_3022_2022_0000.pdf","šikoušek zelený","Buxbaumia viridis","Cílem je zlepšit stav oproti souèasnému stavu. Výsledkem péèe by mìla být stabilizovaná a perspektivnípopulace mechu vyskytující se na více místech (v øádu jednotek) v rámci EVL (o rozloze mikrostanovišv øádu nìkolika m2) s pravidelnou každoroèní tvorbou štìtù s tobolkami (v øádu jednotek) a s dostatkemmrtvého døeva v rùzných fázích rozkladu na lokalitì.",NA
"CZ0614059","hoøeèek mnohotvarý èeský * Gentianella","praecox subsp.","4094","stálá",1,101,"jedinci","dobré zachování","populace na okraji areálu","dobrá hodnota","Cílem je zlepšit stav populace na stav, jako v dobì pøi vyhlášení a zachovat tak životaschopnou populaci v
øádech vyšších desítek jedincù.","sdo_3022_2022_0000.pdf","hoøeèek mnohotvarý èeský * Gentianella","praecox subsp.","Cílem je zlepšit stav populace na stav, jako v dobì pøi vyhlášení a zachovat tak životaschopnou populaci vøádech vyšších desítek jedincù.",51
"CZ0614059","srpnatka fermežová","Hamatocaulis vernicosus","1393","stálá",NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je zachovat souèasný stav populace (desítky m 2).","sdo_3022_2022_0000.pdf","srpnatka fermežová","Hamatocaulis vernicosus","Cílem je zachovat souèasný stav populace (desítky m 2).",NA
"CZ0614059","vrkoè Geyerùv","Vertigo geyeri","1013","stálá",113,NA,"jedinci","vynikající zachování","populace je izolovaná","vynikající hodnota","Cílem je udržet stav pøedmìtu ochrany na úrovni v dobì zaøazení vrkoèe Geyerova mezi pøedmìty ochrany
EVL (vyšší desítky jedincù na 12 litrù standardního vzorku) a zároveò zlepšit stav jeho stanovištì, tj.
stanovištì s pøíznivým vodním režimem, vyhovující kvalitou vody (nízký obsah živin) a pøevahou hnìdých
mechù.

* oznaèuje prioritní druh","sdo_3022_2022_0000.pdf","vrkoè Geyerùv","Vertigo geyeri","Cílem je udržet stav pøedmìtu ochrany na úrovni v dobì zaøazení vrkoèe Geyerova mezi pøedmìty ochranyEVL (vyšší desítky jedincù na 12 litrù standardního vzorku) a zároveò zlepšit stav jeho stanovištì, tj.stanovištì s pøíznivým vodním režimem, vyhovující kvalitou vody (nízký obsah živin) a pøevahou hnìdýchmechù.",113
"CZ0613334","vydra øíèní","Lutra lutra","1355","stálá",1,10,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachovat stav pøi vyhlášení.","sdo_3023_2015.pdf","vydra øíèní","Lutra lutra","Zachovat stav pøi vyhlášení.",5.5
"CZ0613334","vydra øíèní","Lutra lutra","1355","stálá",1,10,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachovat stav pøi vyhlášení tedy trvalý výskyt alespoò 1 jedince druhu.","SDO_3023_2021_0000.pdf","vydra øíèní","Lutra lutra","Zachovat stav pøi vyhlášení tedy trvalý výskyt alespoò 1 jedince druhu.",5.5
"CZ0613335","kuòka ohnivá","Bombina bombina","1188","stálá",10,100,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je zlepšení aktuálního stavu populace kuòky ohnivé na úroveò lepší, než byl stav v dobì vyhlášení EVL,
tzn. na úroveò dlouhodobì životaschopné a úspìšnì se rozmnožující populace èítající alespoò vyšší desítky
volajících samcù (tj. více než 100 jedincù) a zachovat Nový rybník a kaskádu pìti rybníèkù (nejvýznamnìjší
místa rozmnožování) ve vhodném stavu z hlediska nárokù kuòky.","SDO_3024_2021_0000.pdf","kuòka ohnivá","Bombina bombina","Cílem je zlepšení aktuálního stavu populace kuòky ohnivé na úroveò lepší, než byl stav v dobì vyhlášení EVL,tzn. na úroveò dlouhodobì životaschopné a úspìšnì se rozmnožující populace èítající alespoò vyšší desítkyvolajících samcù (tj. více než 100 jedincù) a zachovat Nový rybník a kaskádu pìti rybníèkù (nejvýznamnìjšímísta rozmnožování) ve vhodném stavu z hlediska nárokù kuòky.",55
"CZ0614131","pøástevník kostivalový *","Callimorpha quadripunctaria","1078","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Prostøednictvím aktivní péèe o lokality výskytu zachovat stav pøi vyhlášení. Cílem je stabilní poèetná a úspìšnì
se rozmnožující populace.","sdo_3025_2017_0000.pdf","pøástevník kostivalový","Callimorpha quadripunctaria","Prostøednictvím aktivní péèe o lokality výskytu zachovat stav pøi vyhlášení. Cílem je stabilní poèetná a úspìšnìse rozmnožující populace.",NA
"CZ0614131","vranka obecná","Cottus gobio","1163","stálá",NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachovat stav pøi vyhlášení - poèetnou a pravidelnì se rozmnožující populaci.","sdo_3025_2017_0000.pdf","vranka obecná","Cottus gobio","Zachovat stav pøi vyhlášení - poèetnou a pravidelnì se rozmnožující populaci.",NA
"CZ0614131","dvouhrotec zelený","Dicranum viride","1381","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachovat stav pøi vyhlášení. Porosty s dvouhrotcem ponechat pøirozenému vývoji.","sdo_3025_2017_0000.pdf","dvouhrotec zelený","Dicranum viride","Zachovat stav pøi vyhlášení. Porosty s dvouhrotcem ponechat pøirozenému vývoji.",NA
"CZ0614131","jazýèek jadranský","Himantoglossum adriaticum","4104","stálá",40,40,"jedinci","dobré zachování","populace je izolovaná","vynikající hodnota","Zlepšit stav na úroveò v dobì vyhlášení. Cílem je stabilizovaná vitální populace jazýèku.","sdo_3025_2017_0000.pdf","jazýèek jadranský","Himantoglossum adriaticum","Zlepšit stav na úroveò v dobì vyhlášení. Cílem je stabilizovaná vitální populace jazýèku.",40
"CZ0614131","koniklec velkokvìtý","Pulsatilla grandis","2093","stálá",300,300,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Prostøednictvím pravidelné péèe o suché trávníky udržet stav populace koniklece pøi vyhlášení.
* oznaèuje prioritní druh","sdo_3025_2017_0000.pdf","koniklec velkokvìtý","Pulsatilla grandis","Prostøednictvím pravidelné péèe o suché trávníky udržet stav populace koniklece pøi vyhlášení.",300
"CZ0613336","kuòka ohnivá","Bombina bombina","1188","stálá",10,100,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Poèetná a úspìšnì se rozmnožující populace kuòky ohnivé, tzn. zlepšit stav z doby vyhlášení EVL zachováním
rybníka jako nejvýznamnìjšího místa rozmnožování ve vhodném stavu z hlediska nárokù kuòky a udržováním
dalších vodních a terestrických biotopù kunìk ve vyhovujícím stavu.","sdo_3026_2016_0000.pdf","kuòka ohnivá","Bombina bombina","Poèetná a úspìšnì se rozmnožující populace kuòky ohnivé, tzn. zlepšit stav z doby vyhlášení EVL zachovánímrybníka jako nejvýznamnìjšího místa rozmnožování ve vhodném stavu z hlediska nárokù kuòky a udržovánímdalších vodních a terestrických biotopù kunìk ve vyhovujícím stavu.",55
"CZ0613336","kuòka ohnivá","Bombina bombina","1188","stálá",10,100,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je zlepšit stav pøedmìtu ochrany oproti stavu z doby vyhlášení EVL, tj. poèetná a úspìšnì se
rozmnožující populace kuòky ohnivé v øádu stovek jedincù, zachování rybníka jako nejvýznamnìjšího místa
rozmnožování ve vhodném stavu z hlediska nárokù kuòky a udržování dalších vodních a terestrických
biotopù kunìk ve vyhovujícím stavu.","sdo_3026_2018_0000.pdf","kuòka ohnivá","Bombina bombina","Cílem je zlepšit stav pøedmìtu ochrany oproti stavu z doby vyhlášení EVL, tj. poèetná a úspìšnì serozmnožující populace kuòky ohnivé v øádu stovek jedincù, zachování rybníka jako nejvýznamnìjšího místarozmnožování ve vhodném stavu z hlediska nárokù kuòky a udržování dalších vodních a terestrickýchbiotopù kunìk ve vyhovujícím stavu.",55
"CZ0614056","srpnatka fermežová","Hamatocaulis vernicosus","1393","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je zachovat souèasný stav populace (více jak 5 m 2).","sdo_3027_2022_000.pdf","srpnatka fermežová","Hamatocaulis vernicosus","Cílem je zachovat souèasný stav populace (více jak 5 m 2).",NA
"CZ0614056","vrkoè Geyerùv","Vertigo geyeri","1013","stálá",14,NA,"jedinci","vynikající zachování","populace je izolovaná","dobrá hodnota","Cílem je udržet stav pøedmìtu ochrany na úrovni v dobì jeho zaøazení mezi pøedmìty ochrany EVL (tj.
minimálnì 14 jedincù ve standardním 12l vzorku) a zároveò zlepšit stav jeho stanovištì (podmáèená
rašelinná louka severnì od rybníka Kaèerák), tj. stanovištì s pøíznivým vodním režimem, vyhovující kvalitou
vody a pøevahou hnìdých mechù.","sdo_3027_2022_000.pdf","vrkoè Geyerùv","Vertigo geyeri","Cílem je udržet stav pøedmìtu ochrany na úrovni v dobì jeho zaøazení mezi pøedmìty ochrany EVL (tj.minimálnì 14 jedincù ve standardním 12l vzorku) a zároveò zlepšit stav jeho stanovištì (podmáèenárašelinná louka severnì od rybníka Kaèerák), tj. stanovištì s pøíznivým vodním režimem, vyhovující kvalitouvody a pøevahou hnìdých mechù.",14
"CZ0613338","kuòka ohnivá","Bombina bombina","1188","stálá",1,10,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Cílem je zlepšit aktuální stav pøedmìtu ochrany (druh nebyl zaznamenán), tj. pomoci návratu kuòky na
lokalitu a následné navýšení populaèní poèetnosti kuòky nad hodnoty zjištìné pøi posledním zaznamenaném
výskytu druhu, tj. dosáhnout poèetnosti ve stovkách dospìlých rozmnožujících se jedincù na alespoò dvou
rybnících lokality.","sdo_3028_2018_0000.pdf","kuòka ohnivá","Bombina bombina","Cílem je zlepšit aktuální stav pøedmìtu ochrany (druh nebyl zaznamenán), tj. pomoci návratu kuòky nalokalitu a následné navýšení populaèní poèetnosti kuòky nad hodnoty zjištìné pøi posledním zaznamenanémvýskytu druhu, tj. dosáhnout poèetnosti ve stovkách dospìlých rozmnožujících se jedincù na alespoò dvourybnících lokality.",5.5
"CZ0610159","dvouhrotec zelený","Dicranum viride","1381","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Udržet souèasný stav.","sdo_3029_2016_0000.pdf","dvouhrotec zelený","Dicranum viride","Udržet souèasný stav.",NA
"CZ0614057","kuòka ohnivá","Bombina bombina","1188","stálá",1,10,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Poèetná a úspìšnì se rozmnožující populace kuòky ohnivé, výrazné zvýšení stavu oproti stavu v dobì
vyhlášení i souèasnému stavu (jednotky jedincù). Zlepšení stavu rybníkù Podvesník a Staroborský alespoò v
nìkterých letech ve vztahu k rozmnožování kuòky. Udržování dalších vodních a terestrických biotopù kunìk ve
vyhovujícím stavu, jejich doplnìní (tùnì) a zlepšení souèasného stavu.","sdo_3032_2016_0000.pdf","kuòka ohnivá","Bombina bombina","Poèetná a úspìšnì se rozmnožující populace kuòky ohnivé, výrazné zvýšení stavu oproti stavu v dobìvyhlášení i souèasnému stavu (jednotky jedincù). Zlepšení stavu rybníkù Podvesník a Staroborský alespoò vnìkterých letech ve vztahu k rozmnožování kuòky. Udržování dalších vodních a terestrických biotopù kunìk vevyhovujícím stavu, jejich doplnìní (tùnì) a zlepšení souèasného stavu.",5.5
"CZ0614057","puchýøka útlá","Coleanthus subtilis","1887","stálá",10000,NA,"jedinci","dobré zachování","populace je izolovaná","dobrá hodnota","Udržovat stávající stabilní poèetnou populaci (desetitisíce jedincù) prostøednictvím pravidelného výskytu
obnaženého dna.","sdo_3032_2016_0000.pdf","puchýøka útlá","Coleanthus subtilis","Udržovat stávající stabilní poèetnou populaci (desetitisíce jedincù) prostøednictvím pravidelného výskytuobnaženého dna.",10000
"CZ0613700","netopýr brvitý","Myotis emarginatus","1321","rozmnožující se",100,100,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Zachovat stav pøi vyhlášení: poèetná, stabilní, pravidelnì se rozmnožující letní kolonie.","sdo_3033_2016_0000.pdf","netopýr brvitý","Myotis emarginatus","Zachovat stav pøi vyhlášení: poèetná, stabilní, pravidelnì se rozmnožující letní kolonie.",100
"CZ0613700","netopýr brvitý","Myotis emarginatus","1321",NA,NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Stabilní, pravidelnì se rozmnožující letní kolonie v øádu stovek jedincù tj. poètu blízkém hodnotì pøi
vyhlášení EVL a vyšším.","sdo_3033_2017_0000.pdf","netopýr brvitý","Myotis emarginatus","Stabilní, pravidelnì se rozmnožující letní kolonie v øádu stovek jedincù tj. poètu blízkém hodnotì pøivyhlášení EVL a vyšším.",NA
"CZ0623022","piskoø pruhovaný","Misgurnus fossilis","1145","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachování stavu pøedmìtu ochrany, piskoøe pruhovaného (Misgurnus fossilis), jako pøi vyhlášení EVL. V té
dobì byl na lokalitì druh zjištìn v poètu jednotek jedincù a to v rámci celé lokality. Tehdejší reálné poèty
kusù však lze odhadovat vyšší, než zjištìné odlovem, s ohledem na zpùsob života druhu a obtížnost
monitoringu na daném typu lokality. Obdobné výsledky byly doloženy také v roce 2013.","sdo_3034_2017_0000.pdf","piskoø pruhovaný","Misgurnus fossilis","Zachování stavu pøedmìtu ochrany, piskoøe pruhovaného (Misgurnus fossilis), jako pøi vyhlášení EVL. V tédobì byl na lokalitì druh zjištìn v poètu jednotek jedincù a to v rámci celé lokality. Tehdejší reálné poètykusù však lze odhadovat vyšší, než zjištìné odlovem, s ohledem na zpùsob života druhu a obtížnostmonitoringu na daném typu lokality. Obdobné výsledky byly doloženy také v roce 2013.",NA
"CZ0623803","páchník hnìdý *","Osmoderma eremita","1084","stálá",NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachování stabilní a životaschopné populace pøedmìtu ochrany na lokalitì odpovídající stavu pøi vyhlášení
EVL.
* oznaèuje prioritní druh","sdo_3035_2016_0000.pdf","páchník hnìdý","Osmoderma eremita","Zachování stabilní a životaschopné populace pøedmìtu ochrany na lokalitì odpovídající stavu pøi vyhlášeníEVL.",NA
"CZ0623803","páchník hnìdý *","Osmoderma eremita","1084","stálá",NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je zachovat stav pøedmìtu ochrany na úrovni z doby vyhlášení, tzn. prokázání jeho vývoje v alespoò
nižších desítkách stromù na základì nálezu trusu, larev, úlomkù chitinu uhynulých páchníkù a živých
dospìlých jedincù, tj. zachovat životaschopnou populaci. Cílovým stavem biotopu páchníka je dlouhodobá
pøítomnost stromù (lípy, jírovec maïal) s vhodnými dutinami pro jeho vývoj.

* oznaèuje prioritní druh","SDO_3035_2019_0000.pdf","páchník hnìdý","Osmoderma eremita","Cílem je zachovat stav pøedmìtu ochrany na úrovni z doby vyhlášení, tzn. prokázání jeho vývoje v alespoònižších desítkách stromù na základì nálezu trusu, larev, úlomkù chitinu uhynulých páchníkù a živýchdospìlých jedincù, tj. zachovat životaschopnou populaci. Cílovým stavem biotopu páchníka je dlouhodobápøítomnost stromù (lípy, jírovec maïal) s vhodnými dutinami pro jeho vývoj.",NA
"CZ0623035","chrobák jednorohý","Bolbelasmus unicornis","4011","stálá",NA,NA,NA,"dobré zachování","populace na okraji areálu","vynikající hodnota","Zlepšit stav pøedmìtu ochrany, chrobáka jednorohého (Bolbelasmus unicornis), oproti stavu vyhlášení EVL.","sdo_3037_2016_0000.pdf","chrobák jednorohý","Bolbelasmus unicornis","Zlepšit stav pøedmìtu ochrany, chrobáka jednorohého (Bolbelasmus unicornis), oproti stavu vyhlášení EVL.",NA
"CZ0623035","pøástevník kostivalový *","Callimorpha quadripunctaria","1078","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachování stavu pøedmìtu ochrany, pøástevníka kostivalového (Callimorpha quadripunctaria), jako pøi vyhlášení
EVL.
* oznaèuje prioritní druh","sdo_3037_2016_0000.pdf","pøástevník kostivalový","Callimorpha quadripunctaria","Zachování stavu pøedmìtu ochrany, pøástevníka kostivalového (Callimorpha quadripunctaria), jako pøi vyhlášeníEVL.",NA
"CZ0623035","chrobák jednorohý","Bolbelasmus unicornis","4011","stálá",NA,NA,NA,"dobré zachování","populace na okraji areálu","vynikající hodnota","Zlepšit stav. Za indikátor pøíznivého stavu lze považovat trvalou pøítomnost vhodného biotopu
(krátkostébelná step) na ploše minimálnì jednotek hektarù a prokázání pøítomnosti druhu standardními
monitorovacími metodami v dobì výskytu.","SDO_3037_2020_0000.pdf","chrobák jednorohý","Bolbelasmus unicornis","Zlepšit stav. Za indikátor pøíznivého stavu lze považovat trvalou pøítomnost vhodného biotopu(krátkostébelná step) na ploše minimálnì jednotek hektarù a prokázání pøítomnosti druhu standardnímimonitorovacími metodami v dobì výskytu.",NA
"CZ0623035","pøástevník kostivalový *","Callimorpha quadripunctaria","1078","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachování stavu jako pøi vyhlášení EVL - populace èítající desítky jedincù.

* oznaèuje prioritní druh","SDO_3037_2020_0000.pdf","pøástevník kostivalový","Callimorpha quadripunctaria","Zachování stavu jako pøi vyhlášení EVL - populace èítající desítky jedincù.",NA
"CZ0622150","koniklec velkokvìtý","Pulsatilla grandis","2093","stálá",300,400,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Dlouhodobé zachování stabilní populace v poèetnosti z roku 2013 (3000 – 4000 kusù) za pomoci cíleného
managementu.","sdo_3038_2016_0000.pdf","koniklec velkokvìtý","Pulsatilla grandis","Dlouhodobé zachování stabilní populace v poèetnosti z roku 2013 (3000 – 4000 kusù) za pomoci cílenéhomanagementu.",350
"CZ0622150","koniklec velkokvìtý","Pulsatilla grandis","2093","stálá",300,400,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet stávající stav, tzn. stabilní populaci v poèetnosti 3000 až 4000 jedincù za pomoci cíleného
managementu.","SDO_3038_2019_0000.pdf","koniklec velkokvìtý","Pulsatilla grandis","Udržet stávající stav, tzn. stabilní populaci v poèetnosti 3000 až 4000 jedincù za pomoci cílenéhomanagementu.",350
"CZ0623702","netopýr velký","Myotis myotis","1324","rozmnožující se",443,610,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Obnovení stavu pøedmìtu ochrany, netopýra velkého (Myotis myotis), na úroveò jako pøi vyhlášení EVL.","sdo_3040_2016_0000.pdf","netopýr velký","Myotis myotis","Obnovení stavu pøedmìtu ochrany, netopýra velkého (Myotis myotis), na úroveò jako pøi vyhlášení EVL.",526.5
"CZ0624094","støevíèník pantoflíèek","Cypripedium calceolus","1902","stálá",32,32,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je udržet stav jako pøi vyhlášení EVL, tj. životaschopné reprodukující se populace v øádu vyšších
desítek jedincù.","SDO_3041_2021_0000.pdf","støevíèník pantoflíèek","Cypripedium calceolus","Cílem je udržet stav jako pøi vyhlášení EVL, tj. životaschopné reprodukující se populace v øádu vyššíchdesítek jedincù.",32
"CZ0623798","vrkoè bažinný","Vertigo moulinsiana","1016","stálá",10000,NA,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Zachovat stav pøedmìtu ochrany odpovídající stavu pøi vyhlášení EVL.","sdo_3042_2017_0000.pdf","vrkoè bažinný","Vertigo moulinsiana","Zachovat stav pøedmìtu ochrany odpovídající stavu pøi vyhlášení EVL.",10000
"CZ0623772","kuòka ohnivá","Bombina bombina","1188","stálá",51,100,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Cílem je zachovat stav pøedmìtu ochrany na úrovni z doby vyhlášení EVL, tj. stabilní rozmnožující se
populace èítající vyšší desítky jedincù.","SDO_3043_2020_0000.pdf","kuòka ohnivá","Bombina bombina","Cílem je zachovat stav pøedmìtu ochrany na úrovni z doby vyhlášení EVL, tj. stabilní rozmnožující sepopulace èítající vyšší desítky jedincù.",75.5
"CZ0623004","vrkoè bažinný","Vertigo moulinsiana","1016","stálá",NA,NA,"100 % ,vynikající zachování,populace na okraji areálu,vynikající hodnota,Zachovat cenné èásti biotopù s výskytem PO západnì od rybníka ve stavu pøi vyhlášení EVL a tím i podmínky","","","","","","vrkoè bažinný","Vertigo moulinsiana","",NA
"pro existenci stabilní a vitální populace tohoto pøedmìtu ochrany. Pøípadnì zlepšit podmínky v okrajových","","","","",NA,NA,"","","","","","","","","",NA
"èástech (východní i západní) EVL.,sdo_3045_2017_0000.pdf
CZ0623345,èolek dravý,Triturus carnifex,1167,stálá,11,100,jedinci,prùmìrné nebo omezené zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,vynikající hodnota,Cílem je zlepšit souèasný stav pøedmìtu ochrany na úroveò stavu pøi vyhlášení prostøednictvím zlepšení","","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,vynikající hodnota,Cílem je zlepšit souèasný stav pøedmìtu ochrany na úroveò stavu pøi vyhlášení prostøednictvím zlepšení","","",NA
"stavu jeho biotopu. Cílem je opìt nastolit na této lokalitì vhodné podmínky umožòující dlouhodobou","","","","",NA,NA,"","","","","","","","","",NA
"existenci rozmnožující se populace èolka dravého v tùních a zlepšit podmínky pro jeho výskyt v rybníce.","","","","",NA,NA,"","","","","","","","","",NA
"Cílem je pøítomnost stabilní populace èolka v EVL o poèetnosti minimálnì vyšších desítek jedincù.","","","","",NA,NA,"","","","","","","","","",NA
"V souèasnosti se pøedmìt ochrany v rybníce nevyskytuje z dùvodu vysokého predaèního tlaku obsádky","","","","",NA,NA,"","","","","","","","","",NA
"absence pøirozené potravy"," absence jakékoliv makrofytní mokøadní vegetace"," která by tvoøila úkrytové","","",NA,NA,"","","","","",""," absence jakékoliv makrofytní mokøadní vegetace"," která by tvoøila úkrytové","",NA
"možnosti. V tùních je výskyt pøedmìtu ochrany zaznamenán (v roce 2020 v alespoò v øádech nižších jedincù","","","","",NA,NA,"","","","","","","","","",NA
"v každé tùni)"," tùnì pøedstavují v této EVL vhodné refugium k pøežívání a dalšímu poèetnímu zvyšování","","","",NA,NA,"","","","","",""," tùnì pøedstavují v této EVL vhodné refugium k pøežívání a dalšímu poèetnímu zvyšování","","",NA
"populace pøedmìtu ochrany.","","","","",NA,NA,"","","","","","","","","",NA
"V pøípadì rybníka je cílem extenzivnì využívaný rybník. V pøípadì tùní je cílem zajistit jejich dlouhodobou","","","","",NA,NA,"","","","","","","","","",NA
"pøítomnost o vhodných parametrech pro výskyt pøedmìtu ochrany (nezazemnìné tùnì bez výskytu ryb"," bez","","","",NA,NA,"","","","","",""," bez","","",NA
"nadmìrného zárùstu tvrdou makrofytní vegetací a zastínìní"," s pøítomností mìkké makrofytní vegetace).","","","",NA,NA,"","","","","",""," s pøítomností mìkké makrofytní vegetace).","","",NA
"Parametry vodního prostøedí jednotlivých tùní mohou být podle jejich lokalizace èásteènì rozdílné"," plocha","","","",NA,NA,"","","","","",""," plocha","","",NA
"zastínìní vodní hladiny by však nemìla pøekroèit 30 % a porosty makrofytní vegetace by mìly mít rozsah","","","","",NA,NA,"","","","","","","","","",NA
"v rozmezí 30–60 % vodní hladiny.,sdo_3048_2022_000.pdf
CZ0623354,pøástevník kostivalový *,Callimorpha quadripunctaria,1078,stálá,-,-,-,dobré zachování,populace není izolovaná"," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Zlepšit stav pøedmìtu ochrany oproti stavu pøi vyhlášení.","","","",NA,NA,"","","","","",""," leží uvnitø areálu rozšíøení druhu,dobrá hodnota,Zlepšit stav pøedmìtu ochrany oproti stavu pøi vyhlášení.","","",NA
"* oznaèuje prioritní druh,sdo_3049_2017_0000.pdf
CZ0624116,pelynìk Panèièùv *,Artemisia pancicii,1917,stálá,30,30,jedinci,prùmìrné nebo omezené zachování,populace je izolovaná,dobrá hodnota,Dlouhodobì je žádoucí udržení nepøíliš poèetné"," ale zøejmì již stabilizované populace v dosavadním stavu","","","",NA,NA,"","","","","",""," ale zøejmì již stabilizované populace v dosavadním stavu","","",NA
"který se pohybuje mezi 100 - 230 prýty.,sdo_3050_2017_0000.pdf
CZ0624116,støevlík panonský,Carabus hungaricus,4013,stálá,-,-,-,vynikající zachování,populace na okraji areálu,vynikající hodnota,Zlepšit stav. V dobì zpracování SDO nebyl druh na lokalitì potvrzen.,sdo_3050_2017_0000.pdf
CZ0624116,katrán tatarský,Crambe tataria,4091,stálá,300,300,jedinci,dobré zachování,populace na okraji areálu,dobrá hodnota,Dlouhodobì je žádoucí udržení poèetné a pomìrnì stabilní populace v dosavadním poèetním stavu"," který se","","","",NA,NA,"","","","","",""," který se","","",NA
"pohybuje mezi 500 - 600 jedinci.","","","","",NA,NA,"","","","","","","","","",NA
"* oznaèuje prioritní druh,sdo_3050_2017_0000.pdf
CZ0624116,pelynìk Panèièùv *,Artemisia pancicii,1917,stálá,30,30,jedinci,prùmìrné nebo omezené zachování,populace je izolovaná,dobrá hodnota,Dlouhodobì je žádoucí udržení zøejmì již stabilizované populace v dosavadním stavu"," který se pohybuje","","","",NA,NA,"","","","","",""," který se pohybuje","","",NA
